note_id	english	turkish	image	example_en
228	to propose	teklif etmek	to_propose.jpg	The mayor proposed a plan for a new bridge
229	to vote	oy vermek	to_vote.jpg	I'm not a citizen of the county, so I can't vote for you.
230	to walk out	dışarı çıkmak (bir yerden), ayrılmak	to_walk_out.jpg	I want to walk out to get a breath of fresh air
231	on our own	kendi başımıza	on_our_own.jpg	He walked off and left us on our own
232	together	birlikte	together2.jpg	Wherever we are going,as long as we are together
233	make mistake	hata	mistake2.jpg	I feel bad about the mistake
234	make noise	gürültü	noise2.jpg	It's the empty can that makes the most noise
235	make mess	dağıtmak, karıştırmak (ortalığı)	mess2.jpg	He made a mess in the kitchen
236	make a phone call	telefonla arama yapmak	phone_call2.jpg	I need to make a quick phone call
237	make a decision	karar vermek	decision2.jpg	How do multiple users make decision when making a playlist
238	do the right thing	doğru şeyi yapmak	right_thing.jpg	I feel certain you're doing the right thing
239	do something interesting	ilginç bir şey yapmak	something_interesting.jpg	There's something interesting on the front page
