note_id	english	turkish	image	example_en
169	bullying	zorbalık yapmak	bully2.jpg	At its worst, bullying is a kind of torture
170	hand in homework	ödev teslim etmek	hand_in_homework.jpg	Why Kids Don't Hand in Homework
171	to get detention	dışarı çıkamama cezası almak	get_detention.jpg	Because he was late for school three times, the student was kept in after-school detention
172	to cheat in a test	testte kopya çekmek	cheat_on_test.jpg	He cheated on the test; he kept looking at my paper every time the teacher turned her back. 
173	to be on time	zamanında olmak	be_on_time.jpg	I can't expect her to be on time if I'm late myself
174	to wear a uniform	üniforma giymek	uniform2.jpg	Nurses have to wear a uniform
175	to write lines	satır yazmak	write_lines.jpg	Finally I persuaded her to write a few lines
176	to scream or shout	bağırmak, çığlık atmak	to_shout.jpg	Her warning shout came too late
177	to get good marks	iyi not almak	get_good_marks.jpg	Some boys make up to their teachers to get good marks
