228	to propose	teklif etmek	The mayor proposed a plan for a new bridge	words_20200511	<img src="to_propose.jpg"> <br> 	[sound:to_propose.mp3]
229	to vote	oy vermek	I'm not a citizen of the county, so I can't vote for you.	words_20200511	<img src="to_vote.jpg"> <br> 	[sound:to_vote.mp3]
230	to walk out	dışarı çıkmak (bir yerden), ayrılmak	I want to walk out to get a breath of fresh air	words_20200511	<img src="to_walk_out.jpg"> <br> 	[sound:to_walk_out.mp3]
231	on our own	kendi başımıza	He walked off and left us on our own	words_20200511	<img src="on_our_own.jpg"> <br> 	[sound:on_our_own.mp3]
232	together	birlikte	Wherever we are going,as long as we are together	words_20200511	<img src="together2.jpg"> <br> 	[sound:together.mp3]
233	make mistake	hata	I feel bad about the mistake	words_20200511	<img src="mistake2.jpg"> <br> 	[sound:make_mistake.mp3]
234	make noise	gürültü	It's the empty can that makes the most noise	words_20200511	<img src="noise2.jpg"> <br> 	[sound:make_noise.mp3]
235	make mess	dağıtmak, karıştırmak (ortalığı)	He made a mess in the kitchen	words_20200511	<img src="mess2.jpg"> <br> 	[sound:make_mess.mp3]
236	make a phone call	telefonla arama yapmak	I need to make a quick phone call	words_20200511	<img src="phone_call2.jpg"> <br> 	[sound:make_a_phone_call.mp3]
237	make a decision	karar vermek	How do multiple users make decision when making a playlist	words_20200511	<img src="decision2.jpg"> <br> 	[sound:make_a_decision.mp3]
238	do the right thing	doğru şeyi yapmak	I feel certain you're doing the right thing	words_20200511	<img src="right_thing.jpg"> <br> 	[sound:do_the_right_thing.mp3]
239	do something interesting	ilginç bir şey yapmak	There's something interesting on the front page	words_20200511	<img src="something_interesting.jpg"> <br> 	[sound:do_something_interesting.mp3]
