60	to investigate	soruşturmak, araştırmak	The police are still investigating the murder	words_20200308	<img src="investigate2.jpg"> <br> 	[sound:to_investigate.mp3]
61	criminal	suçlu	I don't want some dangerous criminal living next door.	words_20200308	<img src="criminal2.jpg"> <br> 	[sound:criminal.mp3]
62	to knock	kapıyı tıklamak	Knock on the door before you enter.	words_20200308	<img src="knock2.jpg"> <br> 	[sound:to_knock.mp3]
63	to reply	yanıt vermek	She opened her mouth to give him a smart reply.	words_20200308	<img src="reply2.jpg"> <br> 	[sound:to_reply.mp3]
64	housekeeper	hizmetçi	Nannies are not housekeepers.	words_20200308	<img src="housekeeper2.jpg"> <br> 	[sound:housekeeper.mp3]
65	hall	salon	As she was walking down the hall, she heard her name mentioned.	words_20200308	<img src="hall2.jpg"> <br> 	[sound:hall.mp3]
66	in trouble	belada	He was having trouble with his homework. I had a little trouble finding the place.	words_20200308	<img src="trouble2.jpg"> <br> 	[sound:in_trouble.mp3]
67	to arrest	yakalamak	The information has led to the arrest of three suspects.	words_20200308	<img src="arrest2.jpg"> <br> 	[sound:to_arrest.mp3]
68	mystery	gizem	I like a mystery without dead bodies. 	words_20200308	<img src="mystery2.jpg"> <br> 	[sound:mystery.mp3]
69	builder	inşaatçı	He was the builder of a famous and beautiful city called Bagdad.	words_20200308	<img src="builder2.jpg"> <br> 	[sound:builder.mp3]
70	well-known	iyi bilinen	The definition of famous is someone or something that is very well known by a lot of people.	words_20200308	<img src="well-known2.jpg"> <br> 	[sound:well-known.mp3]
71	safe	kasa		words_20200308		[sound:safe.mp3]
72	bloodstains	kan lekesi	A bloodstained knife was found under the old merchant's pillow.	words_20200308		[sound:bloodstains.mp3]
73	walking stick	yürüme sopası, baston	The old man is leaning on a walking stick.	words_20200308		[sound:walking_stick.mp3]
74	unmarried	evlenmemiş, bekar	David Dean was 38 years old and the only unmarried detective.	words_20200308		[sound:unmarried.mp3]
75	motive	gerekçe	What's his motive for committing murder?	words_20200308		[sound:motive.mp3]
76	timber yard	odun deposu	A timber yard is a place where timber is stored and sold.	words_20200308		[sound:timber_yard.mp3]
77	remains	kalıntı	It was the remains of another large building.	words_20200308		[sound:remains.mp3]
78	to put out fire	ateşi söndürmek	The manager had to put out the fire after a raw hamburger was served to a customer.	words_20200308		[sound:to_put_out_fire.mp3]
79	city	şehir	I just wanted to see a bit of your city before I drive to your car.	words_20200308		[sound:city.mp3]
80	lawyer	avukat	The lawyer proved the innocence of his client.	words_20200308		[sound:lawyer.mp3]
81	as	olarak	As a lawyer he was engaged during his later years in most of the especially important cases.	words_20200308		[sound:as.mp3]
82	astonished	şaşmış	I was astonished by the amount he could eat.	words_20200308		[sound:astonished.mp3]
83	will	miras kağıdı, vasiyetname		words_20200308		[sound:will.mp3]
84	dining room	yemek odası		words_20200308		[sound:dining_room.mp3]
85	stupid	aptal		words_20200308		[sound:stupid.mp3]
86	to convince	ikna etmek	Yes, I need to convince her to marry me.	words_20200308		[sound:to_convince.mp3]
87	cruel	zalim, kaba	He is, so to speak, a bit too cruel to his wife.	words_20200308		[sound:cruel.mp3]
88	line	çizgi		words_20200308		[sound:line.mp3]
89	thoughtfully	düşünceli bir şekilde	Karataev smiled thoughtfully and was silent.	words_20200308		[sound:thoughtfully.mp3]
90	innocent	masum	She was found innocent of all charges. A person accused of a crime is considered innocent until proven guilty. Someone told your secret, but it wasn't me. I'm innocent.	words_20200308		[sound:innocent.mp3]
91	hay	saman	The barn smelled of fresh hay.	words_20200308		[sound:hay.mp3]
92	to crouch down	çömelmek	She crouched down, trying to get a closer look at the spider.	words_20200308		[sound:to_crouch_down.mp3]
93	to shine	parlamak	the stars shine brightest when the moon is gone.	words_20200308		[sound:to_shine.mp3]
94	I suppose	düşünüyorum, sanıyorum (I think)	I suppose you've heard about me.	words_20200308		[sound:i_suppose.mp3]
95	ash	kül	Ashes to ashes dust to dust.	words_20200308		[sound:ash.mp3]
96	lawn	çim, çimen	I was headed over to my house to mow the lawn and check the garden.	words_20200308		[sound:lawn.mp3]
97	to search	aramak	You can search the library catalog by title, author. He probably went to search for food.	words_20200308		[sound:to_search.mp3]
98	footprint	ayak izi	The child left her tiny footprints in the snow.	words_20200308		[sound:footprint.mp3]
99	deeds of the house	evin tapusu		words_20200308		[sound:deeds_of_the_house.mp3]
100	don't upset yourself	kendini üzme	Have I upset you?	words_20200308		[sound:don't_upset_yourself.mp3]
101	evil	kötü		words_20200308		[sound:evil.mp3]
102	obvious	apaçık, aşikar, belli	Her doctor immediately noticed the obvious signs of the disease.	words_20200308		[sound:obvious.mp3]
103	to draw	çizmek	anyone drawing cartoon pictures	words_20200308		[sound:to_draw.mp3]
104	to pick up	kaldırmak	She bent down to pick up her glove.	words_20200308		[sound:to_pick_up.mp3]
105	to give up	vazgeçmek, pes etmek	Do you want me to give up my schooling just to prove that I love you more?	words_20200308		[sound:to_give_up.mp3]
106	fresh	taze	I could smell fresh bread.	words_20200308		[sound:fresh.mp3]
107	reason	sebep, neden	He had no reason to worry.	words_20200308		[sound:reason.mp3]
108	mad	öfkeli, kızgın, çılgın	She seemed really mad at me.	words_20200308		[sound:mad.mp3]
109	to nod	başını sallamak	I asked her if she could hear me, and she nodded her head.	words_20200308		[sound:to_nod.mp3]
110	chequebook	çek defteri	Surely he had a simple checkbook file.	words_20200308		[sound:chequebook.mp3]
111	gently	kibarca	He gently pulled his arm away and stepped back.	words_20200308		[sound:gently.mp3]
112	telegram	telgraf		words_20200308		[sound:telegram.mp3]
113	opinion	düşünce, görüş	Then let me express a personal opinion as well. My opinion hasn't changed.	words_20200308		[sound:opinion.mp3]
114	proof	kanıt, delil	The document was proof that her story was true.	words_20200308		[sound:proof.mp3]
115	cab	taksi	The cab pulled up and the driver jumped out.	words_20200308		[sound:cab.mp3]
116	doorbell	kapı zili	She rang the doorbell and we waited for someone to answer.	words_20200308		[sound:doorbell.mp3]
117	thumbprint	parmak izi		words_20200308		[sound:thumbprint.mp3]
118	possibility	ihtimal	The possibility has crossed my mind.	words_20200308		[sound:possibility.mp3]
119	cell	hücre	They did indeed know each other, having shared a prison cell ten years.	words_20200308		[sound:cell.mp3]
120	probable	muhtemel	The probable cause of death was heart failure	words_20200308		[sound:probable.mp3]
121	basement	bodrum	The basement has been made into a workshop.	words_20200308		[sound:basement.mp3]
122	furniture	mobilya	The room looks different with the furniture gone.	words_20200308		[sound:furniture.mp3]
123	report	rapor	He wrote up his visit in a report of over 600 pages.	words_20200308		[sound:report.mp3]
124	to prove	ispatlamak, kanıtlamak	He's just saying that to prove a point.	words_20200308		[sound:to_prove.mp3]
125	baffled	şaşırmış, afallamış	The police were baffled, and Sherlock Holmes was called in to investigate.	words_20200308		[sound:baffled.mp3]
126	match	kibrit	A match will set fire to a large building.	words_20200308		[sound:match.mp3]
127	ugly	çirkin	She makes me feel ugly.	words_20200308		[sound:ugly.mp3]
128	passage	geçit	We went along a broad passage.	words_20200308		[sound:passage.mp3]
129	to tell lies	yalan söylemek	It was against his nature to tell lies.	words_20200308		[sound:to_tell_lies.mp3]
130	prison	hapishane	How long should a murderer be kept in prison?	words_20200308		[sound:prison.mp3]
131	to realize	farkına varmak	The way to love anything is to realize that it might be lost.	words_20200308		[sound:to_realize.mp3]
132	to commit a crime	suç işlemek	Legal mental capacity to commit a crime is essential to criminal responsibility.	words_20200308		[sound:to_commit_a_crime.mp3]
133	calm	sakin	The main thing is to stay calm.	words_20200308		[sound:calm.mp3]
134	to disappear	kaybolmak, yok olmak	They watched the bus disappear into the distance.	words_20200308		[sound:to_disappear.mp3]
135	unpleasant	hoş değil	We hope to prevent anything unpleasant from happening.	words_20200308		[sound:unpleasant.mp3]
136	thanks to Sherlock Holmes	Sherlock Holmes sayesinde	Everyone knows now, thanks to Ken's loose tongue.	words_20200308		[sound:thanks_to_sherlock_holmes.mp3]
137	to seal	mühürlemek		words_20200308		[sound:to_seal.mp3]
138	wax	mum		words_20200308		[sound:wax.mp3]
139	guilty	suçlu		words_20200308		[sound:guilty.mp3]
